START,END,DURATION,Name1,TRACK 1 - T1,Name2,TRACK 2 - E1,Name3,TRACK 3 - E2,,,,,,
9:00,9:30,0:30,Registration / Breakfast,,,,,,,,,,,
9:30,10:00,0:30,Zahájení,,,,,,,,,,,
10:00,10:50,0:50,Kasper Lund,Flutter,Rebecca Franks,Android Things,Radek Simko,Google Cloud,,,,,,
10:50,11:00,0:10,Break,,Break,,Break,,,,,,,
11:00,11:50,0:50,Vitaliy Zasadnyy,SDK Android,Tomáš Hubálek,Indie marketing,Juarez Filho,Firebase,,,,,,
11:50,12:00,0:10,Break,,Break,,Break,,,,,,,
12:00,12:25,0:25,Vigneshwer Dhinakaran,AI Rust,Sofia Huts,Firebase Functions,Vladislav Iliushin,IoT Security,,,,,,
12:25,12:35,0:10,Break,,Break,,Break,,,,,,,
12:35,13:00,0:25,Tomáš Jukin,Robots,Alexey Buzdin,Android Studio Plugin,Nik Page,,,,,,,
13:00,14:00,1:00,Lunch,,,,,,Kruhovka,,,,,
14:00,14:50,0:50,Faisal Abid,Google Assistant,Jana Moudrá,Angular Dart,Hugo Visser,Android Room,Jeanne Trojan workshop,,,,,
14:50,15:00,0:10,Break,,Break,,Break,,,,,,,
15:00,15:50,0:50,Sarabeth Jaffe,Programming in Prison,Petr Nálevka,Sonar Android,Daniel Stenberg,HTTP2,,,,,,
15:50,16:00,0:10,Break,,Break,,Break,,,,,,,
16:00,16:50,0:50,Simon MacDonald,PWAs,Tomáš Zvěřina,Dart,Britt Barak,Android Doze,,,,,,
16:50,17:20,0:30,Coffee Break,,,,,,,,,,,
17:20,17:45,0:25,Lightning Talks x 7,,Vaclav Souhrada,Kotlin Android,Tanay Pant,Web VR,,,,,,
17:45,18:10,0:25,,,Ipsha Bhidonia,Service Workers,Jindrich Sarson,J2ObjC,,,,,,
18:10,18:15,0:05,Break,,Break,,Break,,,,,,,
18:15,18:45,0:30,Ukončení,,,,,,,,,,,
18:45,23:40,4:55,Afterparty,,,,,,,,,,,